i,D.I.,A.Y.,I.COV,S,B.R.,S.R.,T.S.,MaxP.($),MinP.($),MedP.($),MeanP.($),P.SD,M.P.SD,MeanPCF,PCFSD,M.PCFSD,Mean P.F.,M.P.FSD
162,SPI-1,2017,0.225043546,0.8,69,69,1,57.76464573,0,0,1.34518659,2.980109088,,0.0379019,0.00841172,,0.762127499,
163,SPI-1,2017,0.225043546,0.85,69,69,1,68.0085174,0,0.500682235,2.136010629,3.996184748,,0.058184692,0.010849372,,1.116408902,
164,SPI-1,2017,0.225043546,0.9,69,69,1,78.06581533,0,1.243822527,3.242630493,5.252444688,,0.086599763,0.013504265,,1.57080347,
165,SPI-1,2017,0.225043546,0.7,69,49,1,35.01400754,0,0,0.598147814,1.912102314,,0.015472884,0.005370126,,0.295963787,
166,SPI-1,2017,0.225043546,0.75,69,49,1,41.17519615,0,0,1.027616395,2.63810623,,0.024092518,0.007010001,,0.469332327,
167,SPI-1,2017,0.225043546,0.8,69,49,1,48.98014169,0,0,1.676252004,3.57669773,,0.037390624,0.00925298,,0.698453414,
168,SPI-1,2017,0.225043546,0.85,69,49,1,64.07603854,0,0.454501717,2.59453123,4.740941983,,0.057110593,0.012318304,,0.992606564,
169,SPI-1,2017,0.225043546,0.9,69,49,1,80.6433554,0,1.397795397,3.850002897,6.160560157,,0.084762079,0.015496939,,1.352168993,
170,SPI-1,2017,0.225043546,0.7,69,29,1,58.98173921,0,0,0.769800416,2.990432715,,0.016981001,0.0079915,,0.188230856,
171,SPI-1,2017,0.225043546,0.75,69,29,1,69.24780028,0,0,1.279391017,4.046046317,,0.02614175,0.010279552,,0.294983025,
172,SPI-1,2017,0.225043546,0.8,69,29,1,84.07836927,0,0,2.035204205,5.390918997,,0.040223322,0.013333506,,0.442927197,
173,SPI-1,2017,0.225043546,0.85,69,29,1,109.2356935,0,0,3.098987284,7.058753277,,0.061092362,0.01725039,,0.631761599,
174,SPI-1,2017,0.225043546,0.9,69,29,1,133.8332493,0,0.019078609,4.548971241,9.085694692,,0.090123706,0.021840328,,0.877857412,
175,SPI-1,2017,0.225043546,0.7,69,9,1,154.6777496,0,0,1.544108136,7.418281921,,0.025723433,0.015971672,,0.148849491,
176,SPI-1,2017,0.225043546,0.75,69,9,1,169.8028725,0,0,2.452412912,9.745479554,,0.037627505,0.020092587,,0.22406639,
177,SPI-1,2017,0.225043546,0.8,69,9,1,184.8481491,0,0,3.771487036,12.58275874,,0.054538089,0.025652455,,0.320256507,
178,SPI-1,2017,0.225043546,0.85,69,9,1,225.0989761,0,0,5.608273806,16.02191978,,0.078348111,0.033111621,,0.445341381,
179,SPI-1,2017,0.225043546,0.9,69,9,1,266.6671984,0,0,8.079541785,20.11453373,,0.109894096,0.041694097,,0.606865334,
180,SPI-1,2018,0.225043546,0.7,69,69,1,117.8041691,0,0,1.585453522,7.20171809,,0.025723433,0.015971672,,0.148849491,
